DateTime,Date,Hour,Entrances
2022-10-05 21:00:00,2022-10-05,21,241
2022-10-05 22:00:00,2022-10-05,22,108
2022-10-05 23:00:00,2022-10-05,23,18
2022-10-06 06:00:00,2022-10-06,6,194
2022-10-06 07:00:00,2022-10-06,7,128
2022-10-06 08:00:00,2022-10-06,8,211
2022-10-06 09:00:00,2022-10-06,9,271
2022-10-06 10:00:00,2022-10-06,10,231
2022-10-06 11:00:00,2022-10-06,11,321
2022-10-06 12:00:00,2022-10-06,12,299
2022-10-06 13:00:00,2022-10-06,13,239
2022-10-06 14:00:00,2022-10-06,14,317
2022-10-06 15:00:00,2022-10-06,15,308
2022-10-06 16:00:00,2022-10-06,16,332
2022-10-06 17:00:00,2022-10-06,17,295
2022-10-06 18:00:00,2022-10-06,18,296
2022-10-06 19:00:00,2022-10-06,19,292
2022-10-06 20:00:00,2022-10-06,20,280
2022-10-06 21:00:00,2022-10-06,21,241
2022-10-06 22:00:00,2022-10-06,22,96
2022-10-06 23:00:00,2022-10-06,23,14
2022-10-07 05:00:00,2022-10-07,5,3
2022-10-07 06:00:00,2022-10-07,6,103
2022-10-07 07:00:00,2022-10-07,7,120
2022-10-07 08:00:00,2022-10-07,8,125
2022-10-07 09:00:00,2022-10-07,9,168
2022-10-07 10:00:00,2022-10-07,10,238
2022-10-07 11:00:00,2022-10-07,11,271
2022-10-07 12:00:00,2022-10-07,12,331
2022-10-07 13:00:00,2022-10-07,13,325
2022-10-07 14:00:00,2022-10-07,14,315
2022-10-07 15:00:00,2022-10-07,15,329
2022-10-07 16:00:00,2022-10-07,16,333
2022-10-07 17:00:00,2022-10-07,17,254
2022-10-07 18:00:00,2022-10-07,18,249
2022-10-07 19:00:00,2022-10-07,19,209
2022-10-07 20:00:00,2022-10-07,20,126
2022-10-07 21:00:00,2022-10-07,21,122
2022-10-07 22:00:00,2022-10-07,22,70
2022-10-07 23:00:00,2022-10-07,23,12
2022-10-08 07:00:00,2022-10-08,7,11
2022-10-08 08:00:00,2022-10-08,8,212
2022-10-08 09:00:00,2022-10-08,9,297
2022-10-08 10:00:00,2022-10-08,10,305
2022-10-08 11:00:00,2022-10-08,11,456
2022-10-08 12:00:00,2022-10-08,12,404
2022-10-08 13:00:00,2022-10-08,13,483
2022-10-08 14:00:00,2022-10-08,14,374
