DateTime,Date,Hour,Entrances
2022-11-02 11:00:00,2022-11-02,11,277
2022-11-02 12:00:00,2022-11-02,12,291
2022-11-03 01:00:00,2022-11-03,1,220
2022-11-03 02:00:00,2022-11-03,2,263
2022-11-03 03:00:00,2022-11-03,3,248
2022-11-03 04:00:00,2022-11-03,4,304
2022-11-03 05:00:00,2022-11-03,5,312
2022-11-03 06:00:00,2022-11-03,6,463
2022-11-03 07:00:00,2022-11-03,7,364
2022-11-03 08:00:00,2022-11-03,8,461
2022-11-03 09:00:00,2022-11-03,9,477
2022-11-03 10:00:00,2022-11-03,10,352
2022-11-03 11:00:00,2022-11-03,11,334
2022-11-03 12:00:00,2022-11-03,12,222
2022-11-04 01:00:00,2022-11-04,1,296
2022-11-04 02:00:00,2022-11-04,2,237
2022-11-04 03:00:00,2022-11-04,3,269
2022-11-04 04:00:00,2022-11-04,4,86
2022-11-04 05:00:00,2022-11-04,5,77
2022-11-04 06:00:00,2022-11-04,6,337
2022-11-04 07:00:00,2022-11-04,7,226
2022-11-04 08:00:00,2022-11-04,8,242
2022-11-04 09:00:00,2022-11-04,9,229
2022-11-04 10:00:00,2022-11-04,10,304
2022-11-04 11:00:00,2022-11-04,11,234
2022-11-04 12:00:00,2022-11-04,12,310
2022-11-05 01:00:00,2022-11-05,1,341
2022-11-05 02:00:00,2022-11-05,2,384
2022-11-05 03:00:00,2022-11-05,3,383
